Last updated: 2005-06-04
------------------------------------------------------------------------------
Package Name                            ppc                 x86                 
app-text/html401                        N/A                 19991224-r1         
app-text/htmldoc                        1.8.23              1.8.24              
app-text/htmlinc                        N/A                 1.0_beta1           
app-text/jing                           N/A                 20030619-r1         
app-text/kbarcode                       N/A                 1.8.1               
app-text/kbedic                         N/A                 4.0                 
app-text/libwpd                         0.7.1               0.7.2               
app-text/mecab                          0.78                0.80                
app-text/mgv                            N/A                 3.1.5               
app-text/mpage                          N/A                 2.5.3               
app-text/namazu                         N/A                 2.0.14              
app-text/o3read                         N/A                 0.0.4               
app-text/pdf2html                       N/A                 1.4                 
app-text/poppler                        N/A                 0.3.0               
app-text/pspresent                      N/A                 1.2                 
app-text/pstotext                       N/A                 1.8g                
app-text/pylize                         N/A                 1.1b                
app-text/rpl                            N/A                 1.4.0               
app-text/sary                           1.1.0               1.2.0               
app-text/tuxcards                       N/A                 1.2                 
app-text/vilistextum                    N/A                 2.6.7               
app-text/wscr                           N/A                 1.2                 
app-text/xhtml1                         N/A                 20020801-r1         
app-text/xmlstarlet                     N/A                 1.0.1               
app-vim/autoalign                       N/A                 5                   
app-vim/breakpts                        N/A                 3.1                 
app-vim/cmdalias                        N/A                 1.0                 
app-vim/curcmdmode                      N/A                 1.0                 
app-vim/dbext                           N/A                 2.11                
app-vim/errsign                         N/A                 0.1                 
app-vim/foldutil                        N/A                 1.7                 
app-vim/genutils                        N/A                 1.17                
app-vim/greputils                       N/A                 2.4                 
app-vim/pam-syntax                      N/A                 20030818            
app-vim/pushpop                         N/A                 2.4                 
app-vim/vimbuddy                        N/A                 0.9.1               
app-vim/vimoutliner                     N/A                 0.3.3a-r1           
app-xemacs/bbdb                         N/A                 1.21                
app-xemacs/build                        N/A                 1.10                
app-xemacs/clearcase                    N/A                 1.04                
app-xemacs/dired                        N/A                 1.13                
app-xemacs/docbookide                   N/A                 0.06                
app-xemacs/ecb                          N/A                 1.01                
app-xemacs/ediff                        N/A                 1.46                
app-xemacs/edit-utils                   N/A                 1.98                
app-xemacs/edt                          N/A                 1.12                
app-xemacs/efs                          N/A                 1.29                
app-xemacs/egg-its                      N/A                 1.26                
app-xemacs/eieio                        N/A                 1.04                
app-xemacs/elib                         N/A                 1.10                
app-xemacs/emerge                       N/A                 1.09                
app-xemacs/eshell                       N/A                 1.04                
app-xemacs/ess                          N/A                 1.03                
app-xemacs/eudc                         N/A                 1.37                
app-xemacs/footnote                     N/A                 1.15                
app-xemacs/forms                        N/A                 1.14                
app-xemacs/fortran-modes                N/A                 1.02                
app-xemacs/frame-icon                   N/A                 1.09                
app-xemacs/gnus                         N/A                 1.65                
app-xemacs/haskell-mode                 N/A                 1.05                
app-xemacs/hm-html-menus                N/A                 1.18                
app-xemacs/ibuffer                      N/A                 1.08                
app-xemacs/idlwave                      N/A                 1.28                
app-xemacs/igrep                        N/A                 1.10                
app-xemacs/ilisp                        N/A                 1.29                
app-xemacs/jde                          N/A                 1.43                
app-xemacs/latin-unity                  N/A                 1.07                
app-xemacs/leim                         N/A                 1.20                
app-xemacs/liece                        N/A                 1.10                
app-xemacs/locale                       N/A                 1.20                
app-xemacs/lookup                       N/A                 1.13                
app-xemacs/mailcrypt                    N/A                 2.12                
app-xemacs/mew                          N/A                 1.17                
app-xemacs/mh-e                         N/A                 1.17                
app-xemacs/mine                         N/A                 1.14                
app-xemacs/misc-games                   N/A                 1.16                
app-xemacs/mmm-mode                     N/A                 1.00                
app-xemacs/mule-ucs                     N/A                 1.04                
app-xemacs/net-utils                    N/A                 1.32                
app-xemacs/ocaml                        N/A                 0.04                
app-xemacs/os-utils                     N/A                 1.30                
app-xemacs/pcl-cvs                      N/A                 1.64                
app-xemacs/perl-modes                   N/A                 1.04                
app-xemacs/pgg                          N/A                 1.02                
app-xemacs/prog-modes                   N/A                 1.72                
app-xemacs/ps-print                     N/A                 1.08                
app-xemacs/psgml                        N/A                 1.38                
app-xemacs/psgml-dtds                   N/A                 1.02                
app-xemacs/python-modes                 N/A                 1.02                
app-xemacs/reftex                       N/A                 1.28                
app-xemacs/rmail                        N/A                 1.13                
app-xemacs/ruby-modes                   N/A                 1.01                
app-xemacs/sasl                         N/A                 1.12                
app-xemacs/scheme                       N/A                 1.13                
app-xemacs/semantic                     N/A                 1.17                
app-xemacs/sgml                         N/A                 1.08                
app-xemacs/sieve                        N/A                 1.11                
app-xemacs/skk                          N/A                 1.23                
app-xemacs/slider                       N/A                 1.13                
app-xemacs/sml-mode                     N/A                 0.07                
app-xemacs/sounds-au                    N/A                 1.10                
app-xemacs/sounds-wav                   N/A                 1.10                
app-xemacs/speedbar                     N/A                 1.26                
app-xemacs/strokes                      N/A                 1.08                
app-xemacs/supercite                    N/A                 1.19                
app-xemacs/text-modes                   N/A                 1.58                
app-xemacs/textools                     N/A                 1.14                
app-xemacs/time                         N/A                 1.12                
app-xemacs/tm                           N/A                 1.35                
app-xemacs/tooltalk                     N/A                 1.13                
app-xemacs/tpu                          N/A                 1.12                
app-xemacs/tramp                        N/A                 1.11                
app-xemacs/vc                           N/A                 1.35                
app-xemacs/vc-cc                        N/A                 1.21                
app-xemacs/vhdl                         N/A                 1.16                
app-xemacs/view-process                 N/A                 1.12                
app-xemacs/viper                        N/A                 1.35                
app-xemacs/vm                           N/A                 7.07                
app-xemacs/w3                           N/A                 1.28                
app-xemacs/xemacs-devel                 N/A                 1.50                
app-xemacs/xemacs-ispell                N/A                 1.24                
app-xemacs/xemacs-packages-sumo         N/A                 2003.08.31          
app-xemacs/xslide                       N/A                 1.04                
app-xemacs/xslt-process                 N/A                 1.11                
app-xemacs/zenirc                       N/A                 1.13                
dev-ada/adadoc                          N/A                 2.01                
dev-ada/gtkada                          N/A                 2.2.1-r1            
dev-cpp/glibmm                          2.4.4               2.4.7-r1            
dev-cpp/gnome-vfsmm                     N/A                 1.3.5               
dev-cpp/gtkmm                           2.4.8               2.4.11              
dev-cpp/libbinio                        N/A                 1.3                 
dev-cpp/libgnomecanvasmm                2.0.1               2.6.1               
dev-cpp/libxmlpp                        1.0.4-r2            2.8.0-r1            
dev-cpp/rudiments                       N/A                 0.25.1              
dev-db/fastdb                           N/A                 2.55                
dev-db/gmyclient                        N/A                 0.3                 
dev-db/henplus                          N/A                 0.9.5-r2            
dev-db/jxtray                           N/A                 0.5                 
dev-db/kpogre                           N/A                 1.2.7               
dev-db/pgaccess                         N/A                 0.99.0.20040219     
dev-db/postgis                          N/A                 0.7.5-r2            
dev-db/qdbm                             1.8.17              1.8.21              
dev-db/rekall                           N/A                 2.2.3-r1            
dev-db/sqlite                           3.2.1-r1            3.2.1-r3            
dev-db/tora                             N/A                 1.3.16-r1           
dev-db/xbsql                            N/A                 0.11                
dev-db/xindice                          N/A                 1.0-r3              
dev-dotnet/gnomedb-sharp                N/A                 1.0.8-r1            
dev-dotnet/gtkgl-sharp                  N/A                 0.05                
dev-dotnet/ikvm                         N/A                 0.8.0.0             
dev-dotnet/rsvg-sharp                   N/A                 1.0.8-r1            
dev-dotnet/vte-sharp                    N/A                 1.0.8-r1            
dev-embedded/avrdude                    N/A                 4.4.0               
dev-embedded/gpsim                      N/A                 0.21.2              
dev-embedded/include                    N/A                 0.3.2               
dev-embedded/jtag                       N/A                 0.5.1-r1            
dev-embedded/picprog                    N/A                 1.7-r1              
